site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
oysterville,1994,6.4,6.8,7.5,,7.7,9.4,10.0,8.8,6.6,6.4,7.4,7.5
oysterville,1995,7.4,6.5,6.8,8.6,10.0,10.6,5.7,8.7,7.2,7.1,5.3,7.1
oysterville,1996,5.9,5.7,8.5,5.7,8.0,8.2,8.8,7.0,,9.1,7.6,6.8
oysterville,1997,6.4,7.2,5.7,7.9,9.2,,,3.8,,3.6,4.0,3.9
oysterville,1998,4.7,3.9,5.6,6.6,4.4,6.1,6.4,7.5,8.3,,7.0,6.4
oysterville,1999,6.1,,6.7,,,8.7,9.0,11.8,11.5,,10.4,10.4
oysterville,2000,9.9,10.6,10.5,11.2,11.9,11.3,11.4,5.8,6.8,7.9,8.6,8.5
oysterville,2001,8.1,8.8,8.0,10.4,10.0,12.8,12.0,10.3,8.2,10.1,,
oysterville,2002,11.6,10.0,,8.7,11.4,12.8,12.9,12.8,12.0,11.0,12.3,11.3
oysterville,2003,10.6,7.0,,8.6,7.7,10.4,9.6,,10.5,10.5,10.1,9.2
oysterville,2004,,7.4,8.5,8.3,10.3,11.5,11.3,5.0,7.5,,,6.5
oysterville,2005,6.5,,,9.1,11.3,,8.2,,8.8,,6.5,8.4
oysterville,2006,8.1,7.5,,11.4,13.5,13.4,9.7,11.3,12.4,12.9,,6.7
oysterville,2007,,,,10.9,9.4,11.6,,,9.3,,10.0,5.2
oysterville,2008,,,9.7,7.5,8.0,10.5,11.2,13.5,,11.1,10.4,9.8
oysterville,2009,9.3,,10.1,10.8,,,,,,10.6,11.0,11.3
oysterville,2010,10.2,9.4,10.2,10.6,,11.4,10.1,13.0,12.5,,,9.8
oysterville,2011,10.2,9.6,10.8,11.8,10.9,8.5,8.3,,10.1,9.7,9.0,8.9
oysterville,2012,8.6,,,9.2,10.0,10.4,8.8,,10.8,,,8.7
oysterville,2013,,,9.9,,10.6,13.5,9.3,8.3,10.2,10.7,,11.3
oysterville,2014,,,10.0,,11.5,13.5,14.2,14.6,,11.7,10.6,
oysterville,2015,11.0,,10.8,12.3,10.9,,12.7,14.5,,10.0,,
oysterville,2016,10.5,9.6,10.2,10.1,,13.1,10.7,,12.6,,10.0,7.8
oysterville,2017,,,10.9,11.5,,,12.2,10.1,8.4,,,
oysterville,2018,8,,,,,,,,,,,
